epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,34.507,1.91776,0.28448,0.92241,1.66204,0.000297776,0.000297776,0.000297776
2,70.1864,1.55167,0.53448,0.98276,1.24467,0.000590863,0.000590863,0.000590863
3,103.741,1.23674,0.55172,0.98276,1.03702,0.000873951,0.000873951,0.000873951
4,137.342,0.99376,0.62931,0.97414,0.92171,0.000864004,0.000864004,0.000864004
5,171.055,0.83238,0.62931,0.98276,0.84454,0.000849006,0.000849006,0.000849006
6,203.94,0.7385,0.67241,0.99138,0.86431,0.000834007,0.000834007,0.000834007
7,237.571,0.65791,0.68103,0.97414,0.95395,0.000819009,0.000819009,0.000819009
8,273.647,0.54601,0.71552,0.96552,0.87551,0.00080401,0.00080401,0.00080401
9,308.796,0.55956,0.69828,0.96552,0.96764,0.000789012,0.000789012,0.000789012
10,344.705,0.50469,0.66379,0.97414,0.85614,0.000774013,0.000774013,0.000774013
11,379.3,0.43093,0.68966,0.96552,0.86039,0.000759015,0.000759015,0.000759015
12,412.763,0.36505,0.68103,0.98276,1.01918,0.000744016,0.000744016,0.000744016
13,447.088,0.40038,0.69828,0.9569,0.96167,0.000729018,0.000729018,0.000729018
14,479.916,0.37603,0.71552,0.96552,1.03445,0.000714019,0.000714019,0.000714019
15,514.592,0.32624,0.7069,0.96552,1.11484,0.000699021,0.000699021,0.000699021
16,548.917,0.31415,0.7069,0.9569,1.23869,0.000684022,0.000684022,0.000684022
17,583.597,0.33136,0.69828,0.97414,1.19287,0.000669024,0.000669024,0.000669024
18,618.692,0.27928,0.68966,0.97414,1.10273,0.000654025,0.000654025,0.000654025
19,653.29,0.27646,0.67241,0.97414,1.06809,0.000639027,0.000639027,0.000639027
20,687.814,0.25255,0.68103,0.98276,1.40036,0.000624028,0.000624028,0.000624028
21,722.315,0.27557,0.7069,0.97414,1.36824,0.00060903,0.00060903,0.00060903
22,757.784,0.27615,0.71552,0.97414,1.05857,0.000594031,0.000594031,0.000594031
23,793.66,0.25152,0.75,0.97414,1.01986,0.000579033,0.000579033,0.000579033
24,828.516,0.23987,0.74138,0.96552,1.35393,0.000564034,0.000564034,0.000564034
25,863.461,0.25562,0.7069,0.97414,1.55144,0.000549036,0.000549036,0.000549036
26,897.14,0.2699,0.67241,0.97414,1.4186,0.000534037,0.000534037,0.000534037
27,931.829,0.23177,0.67241,0.96552,1.21983,0.000519039,0.000519039,0.000519039
28,966.465,0.20967,0.68966,0.97414,1.39466,0.00050404,0.00050404,0.00050404
29,1002.55,0.23504,0.68103,0.96552,1.83418,0.000489042,0.000489042,0.000489042
30,1038.21,0.18821,0.67241,0.96552,1.35546,0.000474043,0.000474043,0.000474043
31,1073.32,0.16483,0.68966,0.97414,1.29354,0.000459045,0.000459045,0.000459045
32,1107.6,0.17772,0.7069,0.97414,1.38531,0.000444046,0.000444046,0.000444046
33,1142.11,0.19001,0.69828,0.97414,1.30459,0.000429048,0.000429048,0.000429048
34,1175.68,0.1888,0.69828,0.96552,1.40997,0.000414049,0.000414049,0.000414049
35,1209.19,0.135,0.69828,0.96552,1.32989,0.000399051,0.000399051,0.000399051
36,1244.05,0.18824,0.7069,0.97414,1.46308,0.000384052,0.000384052,0.000384052
37,1279.4,0.13365,0.68966,0.97414,1.64386,0.000369054,0.000369054,0.000369054
38,1313.98,0.15993,0.69828,0.97414,1.3099,0.000354055,0.000354055,0.000354055
39,1349.17,0.1606,0.7069,0.97414,1.38791,0.000339057,0.000339057,0.000339057
40,1383.68,0.12477,0.68103,0.97414,1.33301,0.000324058,0.000324058,0.000324058
41,1418.21,0.15325,0.69828,0.98276,1.33675,0.00030906,0.00030906,0.00030906
42,1451.93,0.1479,0.68103,0.97414,1.33522,0.000294061,0.000294061,0.000294061
43,1487.21,0.12989,0.68103,0.96552,1.76215,0.000279063,0.000279063,0.000279063
44,1522.61,0.11105,0.68966,0.97414,1.79314,0.000264064,0.000264064,0.000264064
45,1557.06,0.11998,0.65517,0.97414,1.70892,0.000249066,0.000249066,0.000249066
46,1590.54,0.12619,0.65517,0.9569,1.63496,0.000234068,0.000234068,0.000234068
47,1624.02,0.14828,0.65517,0.96552,1.6984,0.000219069,0.000219069,0.000219069
48,1657.6,0.13822,0.66379,0.97414,1.60177,0.00020407,0.00020407,0.00020407
49,1691.2,0.12967,0.7069,0.97414,1.64472,0.000189072,0.000189072,0.000189072
50,1726.29,0.13936,0.67241,0.97414,1.57052,0.000174074,0.000174074,0.000174074
51,1761.45,0.0953,0.68966,0.97414,1.39851,0.000159075,0.000159075,0.000159075
52,1797.36,0.13442,0.68103,0.97414,1.65175,0.000144077,0.000144077,0.000144077
53,1833.09,0.13428,0.68966,0.96552,1.76127,0.000129078,0.000129078,0.000129078
54,1868.07,0.12279,0.68103,0.97414,1.50711,0.00011408,0.00011408,0.00011408
55,1903.18,0.08601,0.68103,0.96552,1.43971,9.9081e-05,9.9081e-05,9.9081e-05
56,1938.24,0.12055,0.69828,0.96552,1.62685,8.40825e-05,8.40825e-05,8.40825e-05
57,1974.07,0.116,0.67241,0.96552,1.44536,6.9084e-05,6.9084e-05,6.9084e-05
58,2009.14,0.11506,0.68103,0.9569,1.56661,5.40855e-05,5.40855e-05,5.40855e-05
59,2044.71,0.11868,0.67241,0.96552,1.92248,3.9087e-05,3.9087e-05,3.9087e-05
60,2080.03,0.12371,0.69828,0.96552,1.49382,2.40885e-05,2.40885e-05,2.40885e-05
