epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,38.1979,2.1621,0.46914,0.83951,1.79978,0.000253169,0.000253169,0.000253169
2,88.0077,1.59146,0.64815,0.95679,1.10474,0.000501095,0.000501095,0.000501095
3,126.444,1.12451,0.7037,0.96296,0.75639,0.000740563,0.000740563,0.000740563
4,168.31,0.89854,0.75309,0.96296,0.81984,0.000730935,0.000730935,0.000730935
5,210.983,0.81295,0.77778,0.97531,0.67841,0.000718246,0.000718246,0.000718246
6,271.076,0.70857,0.74691,0.97531,0.76299,0.000705558,0.000705558,0.000705558
7,323.565,0.64,0.74691,0.96914,0.76706,0.000692869,0.000692869,0.000692869
8,365.656,0.54777,0.75926,0.95679,0.76333,0.000680181,0.000680181,0.000680181
9,411.273,0.50364,0.7284,0.97531,1.16691,0.000667492,0.000667492,0.000667492
10,459.636,0.42221,0.76543,0.97531,0.77742,0.000654804,0.000654804,0.000654804
11,509.47,0.40688,0.7716,0.97531,0.8899,0.000642115,0.000642115,0.000642115
12,556.964,0.39501,0.74691,0.96914,1.04934,0.000629427,0.000629427,0.000629427
13,604.951,0.36814,0.72222,0.98148,1.01788,0.000616738,0.000616738,0.000616738
14,651.986,0.34289,0.74691,0.96296,0.86904,0.00060405,0.00060405,0.00060405
15,699.07,0.36604,0.75309,0.98148,1.04985,0.000591361,0.000591361,0.000591361
16,747.264,0.348,0.7716,0.98765,0.94466,0.000578672,0.000578672,0.000578672
17,796.366,0.27926,0.73457,0.96296,0.87907,0.000565984,0.000565984,0.000565984
18,845.764,0.34892,0.7284,0.96296,0.99816,0.000553296,0.000553296,0.000553296
19,895.13,0.31172,0.7284,0.96914,1.27588,0.000540607,0.000540607,0.000540607
20,942.076,0.277,0.74691,0.96296,1.3873,0.000527919,0.000527919,0.000527919
21,990.088,0.22056,0.74691,0.96296,1.06718,0.00051523,0.00051523,0.00051523
22,1038.36,0.29372,0.74691,0.96914,1.40517,0.000502541,0.000502541,0.000502541
23,1086.32,0.22954,0.75926,0.96914,1.21809,0.000489853,0.000489853,0.000489853
24,1133.87,0.25517,0.74691,0.97531,1.20598,0.000477165,0.000477165,0.000477165
25,1182.14,0.26347,0.7284,0.96914,1.3344,0.000464476,0.000464476,0.000464476
26,1229.88,0.22847,0.74691,0.96296,1.09948,0.000451787,0.000451787,0.000451787
27,1277.05,0.21709,0.73457,0.96914,1.44637,0.000439099,0.000439099,0.000439099
28,1326.76,0.21005,0.75309,0.96914,0.97058,0.000426411,0.000426411,0.000426411
29,1376.02,0.19266,0.7284,0.98148,1.08538,0.000413722,0.000413722,0.000413722
30,1424.08,0.22077,0.7284,0.99383,1.0814,0.000401033,0.000401033,0.000401033
31,1472.16,0.23955,0.73457,0.97531,1.20114,0.000388345,0.000388345,0.000388345
32,1520.05,0.22266,0.73457,0.97531,1.37448,0.000375656,0.000375656,0.000375656
33,1567.93,0.22149,0.74074,0.97531,1.25688,0.000362968,0.000362968,0.000362968
34,1615.97,0.19014,0.74074,0.97531,1.4014,0.00035028,0.00035028,0.00035028
35,1664.83,0.19527,0.72222,0.96914,1.20452,0.000337591,0.000337591,0.000337591
36,1714.12,0.22896,0.7284,0.98148,1.97422,0.000324903,0.000324903,0.000324903
37,1764.1,0.1581,0.74691,0.97531,1.50293,0.000312214,0.000312214,0.000312214
38,1812.44,0.16789,0.72222,0.96914,1.2368,0.000299525,0.000299525,0.000299525
39,1860.04,0.17783,0.7284,0.97531,1.24534,0.000286837,0.000286837,0.000286837
40,1908.54,0.16555,0.75926,0.98148,1.30966,0.000274148,0.000274148,0.000274148
41,1956.29,0.17297,0.74691,0.97531,1.20244,0.00026146,0.00026146,0.00026146
42,2006.56,0.17591,0.74074,0.97531,1.28736,0.000248772,0.000248772,0.000248772
43,2052.48,0.14635,0.74074,0.98148,1.271,0.000236083,0.000236083,0.000236083
44,2099.72,0.1638,0.74074,0.98148,1.19576,0.000223395,0.000223395,0.000223395
45,2145.94,0.16697,0.74691,0.97531,1.16914,0.000210706,0.000210706,0.000210706
46,2191.79,0.14435,0.74691,0.98148,1.51667,0.000198018,0.000198018,0.000198018
47,2238.37,0.1295,0.74074,0.98148,1.16829,0.000185329,0.000185329,0.000185329
48,2282.63,0.16725,0.74691,0.98148,1.15702,0.000172641,0.000172641,0.000172641
49,2328.54,0.12908,0.74074,0.97531,2.15142,0.000159952,0.000159952,0.000159952
50,2375.22,0.14258,0.74074,0.96914,1.18668,0.000147264,0.000147264,0.000147264
51,2422.87,0.14027,0.74074,0.97531,1.17431,0.000134575,0.000134575,0.000134575
52,2467.71,0.13086,0.74691,0.96914,1.58477,0.000121887,0.000121887,0.000121887
53,2512.56,0.11529,0.74691,0.96914,1.16231,0.000109198,0.000109198,0.000109198
54,2556.11,0.12307,0.75309,0.97531,1.53129,9.65095e-05,9.65095e-05,9.65095e-05
55,2601.61,0.12136,0.75309,0.97531,1.18585,8.3821e-05,8.3821e-05,8.3821e-05
56,2646.58,0.12352,0.74691,0.97531,1.27437,7.11325e-05,7.11325e-05,7.11325e-05
57,2691.32,0.12333,0.74074,0.96914,1.24257,5.8444e-05,5.8444e-05,5.8444e-05
58,2735.57,0.12465,0.74691,0.98148,1.22442,4.57555e-05,4.57555e-05,4.57555e-05
59,2779.64,0.14415,0.73457,0.98148,1.67027,3.3067e-05,3.3067e-05,3.3067e-05
60,2827.75,0.14191,0.74074,0.96914,1.47275,2.03785e-05,2.03785e-05,2.03785e-05
